ugonjwa,mahojiano
mafua,"Siwezi kuacha kupiga chafya na pua yangu inatoka kwa kweli. Mimi pia nina baridi sana na uchovu kila wakati, na nimekuwa nikikohoa sana. Homa yangu iko juu sana pia, kama juu ya kawaida."
mafua,"Pua yangu inakimbia sana, na siwezi kuacha kupiga chafya. Kwa kuongezea, mimi huhisi baridi kila wakati, nimechoka, na nimekuwa nikikohoa sana. Homa yangu pia iko juu sana kuliko kawaida."
mafua,"Nimekuwa nikipiga chafya bila kukoma na siwezi kutikisa hali hii ya ubaridi. Ninahisi dhaifu na uchovu, na kikohozi changu hakitaisha. Homa yangu iko juu sana"
mafua,"Nimekuwa nikipiga chafya bila kukoma na siwezi tu kupata ubaridi huu kuondoka. Ninahisi dhaifu na nimechoka, na kikohozi changu hakitaisha. Joto langu ni la juu sana."
mafua,Ninapiga chafya mara kwa mara na mwili wangu unatetemeka kutokana na baridi. Nimechoka sana nashindwa kusogea na kichwa kinaniua. Homa yangu iko kwenye paa
mafua,"Ninapiga chafya mara kwa mara, na ubaridi unafanya mwili wangu kutetemeka. Nimechoka sana hivi kwamba siwezi kusonga, na kichwa kinaniuma. Homa yangu iko juu sana."
mafua,"Nimekuwa nimechoka sana na mgonjwa. Ninapiga chafya bila kukoma na nina baridi sana. Kichwa changu kinapiga, na sina nguvu. Zaidi ya hayo, nina homa kali sana na ninahisi kama nina moto."
mafua,"Nimekuwa nikihisi uchovu na mgonjwa sana. Nimekuwa nikipiga chafya sana na sionekani kupata joto. Nimechoka sana na kichwa kinaniua. Na homa yangu iko juu sana, kana kwamba ninachemka."
mafua,"Nimekuwa nimechoka sana na mgonjwa. Koo langu limekuwa chungu sana, na nimekuwa na kikohozi kibaya sana. Nina baridi nyingi na halijoto ya juu sana. Kuhisi tu kudhoofika sana na dhaifu"
mafua,"Nimekuwa nimechoka sana na mgonjwa. Nimekuwa nikipiga chafya sana na ninatatizika kupata joto. Nimechoka sana, na kichwa kinaniuma. Na ninahisi kama ninachemka na joto langu la juu."
mafua,Siwezi kuacha kupiga chafya na ninahisi uchovu na uchungu sana. Koo langu linauma sana na nina vitu vingi vya bunduki kwenye pua yangu na koo. Shingo yangu inahisi kuvimba na kuvuta pia.
mafua,"Siwezi kuacha kupiga chafya, na nimechoka na mgonjwa. Koo langu halifurahii sana, na kuna takataka nyingi kwenye pua yangu na koo. Shingo yangu pia imevimba na imevimba."
mafua,"Ninaendelea kupiga chafya, na nina huzuni na nimechoka. Nina vitu vingi vya gunky kwenye pua yangu na koo, na koo langu linauma sana. Shingo yangu pia inahisi kuvimba na kuvimba."
mafua,Nimekuwa nikihisi kuishiwa nguvu na kuumwa na tumbo langu. Nimekuwa na kikohozi kibaya sana na koo limeniuma sana. Nimepata shinikizo kubwa la sinus na pua iliyojaa. Sifurahii na nimechoka sana.
mafua,Nimekuwa nikipiga chafya sana na nahisi uchovu na mgonjwa sana. Pia kuna vitu vichafu vinatoka puani mwangu na koo langu linahisi mikwaruzo. Na shingo yangu pia inahisi kuvimba.
mafua,"Nimekuwa nikipumua sana na kwa ujumla ninahisi mgonjwa na nimechoka. Koo langu linahisi kukwaruza, na mambo mengi mabaya yanatoka puani mwangu. Shingo yangu pia inahisi imevimba."
